"code","n_jan16","n_feb16","n_mar16","n_apr16","n_may16","n_jun16","n_jul16","n_aug16","n_spt16","n_oct16","n_nov16","n_dec16","n_jan17","n_feb17","n_mar17","n_apr17"
"i998",0,0,0,24,26,26,26,27,19,33,30,33,21,24,26,34
"z87828",0,0,0,24,11,13,15,19,16,18,15,14,12,11,14,14
"i4901",0,0,0,23,30,20,23,21,15,11,17,18,21,24,24,14
"k759",0,0,0,23,51,30,48,23,32,25,28,27,27,17,24,36
"m47896",0,0,0,23,30,21,20,13,14,22,17,14,21,10,14,10
"m79603",0,0,0,23,37,24,25,27,15,24,19,27,13,13,19,28
"s72009a",0,0,0,23,32,19,14,15,18,17,19,24,17,12,20,15
"z602",0,0,0,23,15,16,17,11,7,16,20,14,14,14,14,11
"e890",0,0,0,21,18,35,18,30,32,25,28,27,23,38,45,40
"f6089",0,0,0,21,26,37,35,39,34,14,9,15,19,19,21,24
"i69354",0,0,0,21,10,14,12,16,17,13,27,28,26,19,35,33
"r222",0,0,0,21,35,14,24,18,32,14,21,26,25,14,35,19
"r231",0,0,0,21,27,30,21,23,18,14,12,12,14,8,11,12
"s61212a",0,0,0,21,25,23,31,23,36,44,35,26,30,22,24,33
"t6591xa",0,0,0,21,15,18,18,29,26,31,20,11,15,19,16,22
"z",0,0,0,21,39,38,11,19,16,10,10,17,11,11,3,11
"j8410",0,0,0,20,25,27,30,21,32,30,32,26,29,42,25,16
"v8659xa",0,0,0,20,15,23,22,34,15,18,15,7,10,20,23,19
"w03xxxa",0,0,0,20,19,12,12,21,116,77,27,25,21,40,28,34
"z6839",0,0,0,20,27,17,21,8,16,13,24,21,24,21,36,27
"z8739",0,0,0,20,16,24,20,20,27,19,22,23,20,25,30,26
"f10220",0,0,0,19,15,29,25,22,27,26,18,29,22,44,30,28
"h6501",0,0,0,19,20,27,25,21,21,19,36,37,52,31,23,21
"m5440",0,0,0,19,18,27,32,52,27,38,26,20,33,22,22,38
"n2889",0,0,0,19,30,28,17,17,16,30,26,29,34,26,29,35
"r454",0,0,0,19,24,26,31,30,24,37,28,29,23,36,33,33
"r938",0,0,0,19,34,40,34,35,36,33,31,31,36,58,34,37
"s40021a",0,0,0,19,23,30,36,38,42,30,25,26,19,20,39,32
"s72002a",0,0,0,19,29,20,31,29,37,36,26,35,37,36,38,29
"w050xxa",0,0,0,19,18,16,21,13,18,28,24,21,19,26,25,22
"x838xxa",0,0,0,19,20,21,26,25,16,24,21,11,29,28,24,21
"y92012",0,0,0,19,17,27,34,26,26,21,26,32,34,37,37,30
"z21",0,0,0,19,27,18,29,25,21,17,23,22,25,30,23,42
"d5700",0,0,0,18,25,24,36,29,22,27,35,29,45,31,43,35
"f1990",0,0,0,18,18,20,22,26,32,20,22,15,25,26,24,32
"f79",0,0,0,18,19,35,25,24,27,32,27,36,27,40,50,51
"f913",0,0,0,18,18,9,12,12,8,16,10,15,16,11,18,35
"g931",0,0,0,18,13,13,17,14,17,17,16,14,16,17,23,19
"h9209",0,0,0,18,25,26,46,26,28,19,24,49,37,35,35,40
"i2119",0,0,0,18,12,22,13,19,15,20,26,13,13,19,24,18
"l508",0,0,0,18,30,28,24,24,29,30,26,24,15,20,23,24
"m5136",0,0,0,18,35,30,28,35,38,31,26,38,41,51,45,57
"s01312a",0,0,0,18,12,17,21,15,17,13,15,23,18,16,28,14
"s72099a",0,0,0,18,28,11,9,10,7,8,11,15,11,9,12,8
"s81012a",0,0,0,18,20,26,28,22,17,19,18,11,8,16,26,17
"s99912a",0,0,0,18,22,14,16,22,22,31,27,18,23,19,31,21
"t63301a",0,0,0,18,31,56,47,40,37,31,21,21,8,12,16,18
"w2107xa",0,0,0,18,8,8,10,9,15,9,2,0,1,3,11,26
"y93h9",0,0,0,18,26,17,29,26,32,33,14,6,18,15,20,33
"i4940",0,0,0,17,32,16,17,16,8,15,11,15,15,16,21,23
"i6200",0,0,0,17,38,29,45,36,49,60,48,40,38,39,36,25
"i672",0,0,0,17,17,18,14,16,6,11,11,11,7,11,12,17
"j4520",0,0,0,17,15,13,27,24,27,17,31,30,37,30,27,35
"r160",0,0,0,17,29,24,28,29,28,35,20,21,20,30,33,51
"w2203xa",0,0,0,17,19,37,22,22,41,35,35,30,37,17,33,26
"y93h2",0,0,0,17,30,29,30,24,21,13,12,9,7,9,16,31
"z9010",0,0,0,17,22,26,14,25,25,16,17,29,19,15,10,23
"f333",0,0,0,16,14,13,19,31,14,20,17,19,26,31,18,31
"f99",0,0,0,16,31,43,30,28,26,24,22,30,29,24,38,41
"i119",0,0,0,16,16,16,12,19,18,68,41,43,33,29,42,40
"j36",0,0,0,16,17,14,22,17,27,25,19,35,23,20,20,18
"l8990",0,0,0,16,12,18,15,9,16,12,14,14,11,8,13,9
"m40209",0,0,0,16,13,14,9,7,8,6,9,6,12,5,4,6
"n644",0,0,0,16,18,17,15,16,31,19,25,25,30,23,30,20
"r10813",0,0,0,16,15,14,10,15,14,17,12,14,11,12,17,12
"r221",0,0,0,16,22,30,29,21,28,23,32,26,22,27,33,27
"t161xxa",0,0,0,16,14,23,32,38,30,30,24,15,19,18,18,21
"y907",0,0,0,16,18,14,20,16,19,9,7,12,13,26,19,25
"z7",0,0,0,16,23,12,7,4,5,3,2,6,9,5,2,4
"c569",0,0,0,15,15,21,22,17,13,11,18,14,18,18,19,12
"i351",0,0,0,15,13,13,20,11,16,13,17,18,22,18,22,11
"i6522",0,0,0,15,5,5,11,10,13,10,16,11,19,7,21,16
"r10816",0,0,0,15,14,17,23,17,11,14,21,11,21,9,27,13
"s40022a",0,0,0,15,28,33,31,57,30,41,39,25,28,27,27,35
"s61218a",0,0,0,15,12,21,22,7,18,11,15,18,9,11,10,13
"s72142a",0,0,0,15,21,10,18,15,15,14,12,14,21,25,24,13
"t424x1a",0,0,0,15,17,13,18,24,13,29,26,13,22,14,13,15
"z62810",0,0,0,15,6,14,9,15,9,9,7,16,11,13,12,16
"z6835",0,0,0,15,28,24,19,25,21,15,20,25,36,35,24,29
"z982",0,0,0,15,16,18,16,22,16,22,9,15,15,25,20,23
"i6521",0,0,0,14,12,13,9,8,11,8,13,8,12,13,15,23
"j13",0,0,0,14,5,6,2,6,1,4,7,8,11,20,8,6
"k1379",0,0,0,14,30,24,32,36,36,24,25,25,32,27,27,36
"k8010",0,0,0,14,17,12,16,19,12,19,12,13,17,17,21,9
"k852",0,0,0,14,35,13,24,18,20,0,0,0,0,1,0,0
"m",0,0,0,14,18,8,5,12,7,5,4,4,7,3,2,5
"o26851",0,0,0,14,19,18,15,16,16,15,16,19,25,20,17,15
"r064",0,0,0,14,22,30,37,36,35,35,30,19,26,33,44,32
"r233",0,0,0,14,11,18,13,23,13,8,18,17,23,14,16,15
"r631",0,0,0,14,10,16,10,16,11,20,4,10,8,20,16,11
"r6812",0,0,0,14,15,35,41,41,53,44,50,62,48,36,51,42
"s01412a",0,0,0,14,7,14,8,8,9,9,11,8,15,12,8,16
"s239xxa",0,0,0,14,21,15,13,16,5,15,13,9,12,2,10,11
"s39011a",0,0,0,14,17,20,16,21,34,26,28,26,25,18,22,26
"s5292xa",0,0,0,14,10,7,21,9,15,20,4,5,7,6,17,9
"s91311a",0,0,0,14,27,34,30,31,32,18,19,13,10,13,18,22
"s91312a",0,0,0,14,24,37,36,37,13,17,14,12,13,7,24,22
"s99921a",0,0,0,14,26,27,16,22,28,30,28,21,18,18,21,17
"t50905a",0,0,0,14,8,8,11,14,9,15,12,14,21,13,20,24
"v4362xa",0,0,0,14,33,17,41,35,34,18,28,23,20,27,22,35
"z0441",0,0,0,14,13,12,21,13,16,5,7,6,6,11,10,10
"z96641",0,0,0,14,25,18,19,19,28,25,20,26,27,29,30,35
"a78",0,0,0,13,10,3,4,6,0,3,0,0,4,1,1,3
"c259",0,0,0,13,23,11,24,20,18,28,25,16,17,18,22,18
"c7800",0,0,0,13,17,12,13,20,12,18,19,15,17,16,11,18
"d473",0,0,0,13,25,19,26,33,31,22,28,28,21,24,28,33
"e1021",0,0,0,13,1,6,7,3,4,4,7,3,3,7,4,5
"e2740",0,0,0,13,15,13,18,13,21,21,26,22,22,22,31,22
"e78",0,0,0,13,18,16,4,3,6,1,1,1,7,6,4,6
"f0150",0,0,0,13,14,14,12,12,11,15,16,13,18,11,21,15
"i69320",0,0,0,13,4,8,10,3,14,7,10,12,10,16,20,17
"i770",0,0,0,13,10,9,10,7,9,3,7,7,6,8,4,10
"k7689",0,0,0,13,11,15,15,17,10,12,13,9,15,20,16,13
"n764",0,0,0,13,20,25,24,22,14,17,19,19,17,12,28,16
"r4183",0,0,0,13,7,7,5,3,3,2,1,1,1,4,8,10
"r944",0,0,0,13,11,18,10,15,9,11,18,10,20,6,14,11
"s32010a",0,0,0,13,18,15,19,11,14,14,14,22,13,14,14,17
"s6990xa",0,0,0,13,31,19,19,23,34,25,33,19,23,22,23,30
"s7000xa",0,0,0,13,11,18,19,16,18,18,9,18,16,8,16,17
"s81011a",0,0,0,13,12,21,20,20,26,20,13,11,16,14,17,19
"s8990xa",0,0,0,13,9,11,14,13,15,21,20,12,20,13,10,23
"s91332a",0,0,0,13,18,18,14,16,15,13,10,8,11,5,13,15
"t391x2a",0,0,0,13,13,9,11,12,18,7,12,15,28,16,21,24
"w2103xa",0,0,0,13,21,29,13,10,13,7,3,0,0,3,20,34
"w231xxa",0,0,0,13,13,19,26,28,36,33,23,16,24,25,32,27
"y048xxa",0,0,0,13,20,24,37,33,43,30,23,26,16,30,21,59
"y848",0,0,0,13,11,7,5,8,11,3,11,5,11,10,13,18
"y92828",0,0,0,13,37,59,70,38,35,10,10,5,8,8,18,21
"z139",0,0,0,13,24,19,22,28,27,48,42,25,23,35,34,41
"z87448",0,0,0,13,21,13,15,10,14,12,8,12,10,7,12,21
"c439",0,0,0,12,19,9,12,8,8,9,11,6,7,8,10,10
"c799",0,0,0,12,14,17,13,9,25,23,20,14,24,14,32,29
"f1190",0,0,0,12,22,10,19,14,24,18,19,14,17,25,20,26
"f1420",0,0,0,12,13,6,7,3,2,11,6,4,6,10,11,10
"f3160",0,0,0,12,9,8,12,6,3,6,7,5,4,4,9,10
"g",0,0,0,12,5,6,3,5,2,3,4,2,2,4,2,4
"g3183",0,0,0,12,7,12,12,7,16,11,8,8,11,7,21,11
"g44309",0,0,0,12,7,23,19,13,30,26,21,16,26,22,25,23
"h1131",0,0,0,12,8,8,20,10,8,14,13,13,18,3,17,20
"h5713",0,0,0,12,9,7,9,19,16,9,10,7,8,12,14,9
"h65191",0,0,0,12,3,19,19,10,10,11,15,25,32,29,31,18
"i49",0,0,0,12,6,8,2,2,0,2,1,3,1,2,0,1
"i708",0,0,0,12,7,11,2,1,5,7,9,5,5,6,9,7
"j09x2",0,0,0,12,3,0,0,0,1,3,1,19,206,391,66,5
"j4531",0,0,0,12,8,8,8,10,15,15,25,16,20,12,18,12
"k2950",0,0,0,12,19,15,11,28,18,21,17,10,18,9,14,19
"k8018",0,0,0,12,16,21,12,10,8,14,7,13,8,7,8,10
"n136",0,0,0,12,23,18,16,11,19,14,17,17,16,19,21,19
"r1083",0,0,0,12,17,22,18,18,10,15,14,8,7,10,12,17
"r6883",0,0,0,12,17,20,30,23,41,34,19,20,37,42,28,23
"r9439",0,0,0,12,22,17,8,8,13,22,13,12,22,18,16,21
"s0011xa",0,0,0,12,10,17,12,13,12,20,18,17,15,12,16,29
"s79912a",0,0,0,12,7,3,6,12,11,15,12,14,8,8,9,13
"s99911a",0,0,0,12,17,12,25,21,20,30,24,21,20,28,25,27
"s99922a",0,0,0,12,21,21,23,25,25,26,25,18,24,24,28,17
"w101xxa",0,0,0,12,6,14,14,13,11,16,16,14,12,16,15,26
"w298xxa",0,0,0,12,18,11,16,22,17,19,17,15,12,10,14,23
"x12xxxa",0,0,0,12,9,16,28,18,17,8,17,13,22,20,29,27
"y92210",0,0,0,12,7,12,18,15,16,18,14,13,18,20,21,24
"z136",0,0,0,12,5,3,4,5,5,6,11,3,8,2,2,1
"z3a00",0,0,0,12,10,8,23,22,22,25,17,22,22,26,30,29
"z539",0,0,0,12,5,3,2,17,23,0,0,4,3,5,7,2
"z85528",0,0,0,12,13,11,8,12,13,12,5,14,13,15,21,23
"z95828",0,0,0,12,20,9,16,11,17,9,13,15,17,13,24,27
"a4189",0,0,0,11,8,8,7,7,9,13,90,105,114,128,112,82
"a5901",0,0,0,11,15,10,19,19,17,14,16,20,21,13,15,13
"b309",0,0,0,11,5,8,12,13,17,7,10,11,17,16,14,8
"e10649",0,0,0,11,13,17,19,20,13,15,19,20,26,25,21,21
"e282",0,0,0,11,17,15,21,30,28,22,19,14,21,25,28,26
"e7220",0,0,0,11,16,13,9,13,10,18,12,13,8,11,18,7
"e8779",0,0,0,11,7,5,6,8,18,7,7,12,18,10,13,11
"f1610",0,0,0,11,16,11,8,10,12,12,7,10,9,15,4,17
"g5601",0,0,0,11,3,6,16,15,17,6,16,8,13,7,17,9
"h1030",0,0,0,11,18,17,15,14,10,5,7,13,14,7,15,25
"i361",0,0,0,11,3,17,10,11,20,15,13,10,25,30,18,11
"i491",0,0,0,11,20,13,16,19,12,12,12,16,17,20,23,27
"i669",0,0,0,11,14,8,12,9,10,7,9,10,9,9,12,8
"i671",0,0,0,11,5,4,6,12,10,9,12,6,8,5,12,14
"k602",0,0,0,11,15,19,20,19,17,22,23,20,27,23,14,15
"k668",0,0,0,11,5,8,7,3,6,11,9,4,7,13,21,14
"k828",0,0,0,11,21,11,15,18,23,24,10,20,17,20,23,18
"l723",0,0,0,11,12,11,15,15,12,13,15,14,19,11,15,16
"m778",0,0,0,11,3,12,10,14,8,20,14,8,6,11,10,17
"n926",0,0,0,11,10,8,14,12,14,13,15,12,23,11,10,16
"r1319",0,0,0,11,10,13,11,13,12,13,12,10,14,9,11,11
"r34",0,0,0,11,16,13,21,12,11,14,6,14,19,11,12,15
"s065x0a",0,0,0,11,23,24,25,19,30,21,26,16,31,22,24,18
"s42301a",0,0,0,11,3,4,5,8,13,10,3,7,7,3,4,8
"s43014a",0,0,0,11,7,11,12,8,6,6,12,11,9,12,11,13
"t40605a",0,0,0,11,9,6,11,12,10,8,11,14,5,2,9,8
"v199xxa",0,0,0,11,20,22,24,16,22,19,5,1,5,8,6,15
"w2201xa",0,0,0,11,11,15,23,16,21,16,24,20,28,21,25,44
"x781xxa",0,0,0,11,3,9,10,9,10,17,14,11,12,12,8,17
"y042xxa",0,0,0,11,18,14,15,19,23,22,35,29,27,21,28,36
"y92838",0,0,0,11,21,30,38,24,23,35,22,16,12,30,52,70
"z3a15",0,0,0,11,13,17,10,13,11,15,14,14,19,13,13,19
"z85048",0,0,0,11,10,11,11,3,5,10,10,14,11,15,20,14
"z862",0,0,0,11,25,23,19,15,23,20,21,12,7,11,18,13
"z8674",0,0,0,11,3,6,11,5,7,10,3,12,11,11,7,9
"d849",0,0,0,10,12,14,9,15,13,10,12,16,25,18,23,15
"e1043",0,0,0,10,4,6,8,8,8,11,10,13,11,9,12,7
"e8495",0,0,0,10,14,17,18,16,11,3,1,2,0,0,1,3
"f445",0,0,0,10,14,17,13,18,18,16,19,24,29,27,22,21
"h1132",0,0,0,10,11,8,13,16,16,14,13,15,15,13,23,22
"h53149",0,0,0,10,9,9,7,10,9,10,20,5,20,17,17,14
"i441",0,0,0,10,11,10,5,12,12,4,17,5,11,15,21,11
"j",0,0,0,10,10,10,7,4,4,5,3,4,11,3,2,3
"k226",0,0,0,10,15,5,7,4,10,14,5,12,9,8,12,11
"k2960",0,0,0,10,5,8,11,9,8,10,4,6,7,5,13,8
"k562",0,0,0,10,6,8,7,4,7,4,4,9,2,7,7,6
"k8012",0,0,0,10,7,13,17,12,11,12,14,11,16,13,15,8
"m24411",0,0,0,10,8,11,3,3,7,6,6,7,9,8,5,7
"n159",0,0,0,10,6,4,6,6,7,7,4,7,2,2,7,5
"r0",0,0,0,10,15,9,8,3,3,2,2,7,5,7,4,6
"r06",0,0,0,10,14,11,5,7,3,4,5,5,5,5,3,6
"r069",0,0,0,10,24,11,10,7,11,5,7,10,5,10,4,5
"r799",0,0,0,10,16,15,9,13,9,8,9,8,3,5,9,8
"s0101xd",0,0,0,10,11,12,19,11,12,16,13,10,16,12,22,22
"s0185xa",0,0,0,10,20,8,9,10,8,8,9,13,23,11,11,9
"s0511xa",0,0,0,10,6,11,9,17,12,15,6,17,15,12,14,15
"s30811a",0,0,0,10,10,18,12,18,13,14,15,11,13,7,23,20
"s41119a",0,0,0,10,13,21,16,21,13,17,6,8,4,12,6,13
"s42201a",0,0,0,10,8,7,8,10,8,11,7,14,8,11,6,6
"s53401a",0,0,0,10,6,13,6,9,6,18,12,8,5,7,13,4
"s59901a",0,0,0,10,12,5,8,11,14,20,9,10,13,15,14,15
"t502x5a",0,0,0,10,10,18,9,7,7,6,7,11,8,12,8,4
"v4949xa",0,0,0,10,10,5,7,13,19,21,23,16,9,10,20,21
"y0889xa",0,0,0,10,7,4,14,15,8,30,18,7,21,9,9,8
"y909",0,0,0,10,4,7,4,16,11,9,9,4,19,7,10,11
"y92411",0,0,0,10,18,27,13,17,23,14,19,17,15,6,21,17
"z0389",0,0,0,10,20,17,29,28,22,17,25,15,32,22,12,31
"z3a14",0,0,0,10,11,10,17,16,16,8,16,17,20,23,14,16
"z7251",0,0,0,10,6,6,11,7,10,4,10,3,6,5,7,8
"z872",0,0,0,10,9,5,8,3,3,13,1,5,5,4,8,3
"z889",0,0,0,10,9,7,3,10,16,7,7,5,9,11,10,5
"d496",0,0,0,9,2,7,11,15,6,7,5,8,3,7,5,6
"e40",0,0,0,9,6,1,4,0,1,3,1,1,0,0,0,0
"f458",0,0,0,9,17,16,17,21,23,20,18,18,23,19,23,13
"h1032",0,0,0,9,13,14,11,16,25,30,20,30,31,29,28,29
"h5500",0,0,0,9,19,12,13,9,10,2,6,3,10,2,13,9
"i110",0,0,0,9,20,11,13,11,32,177,193,207,277,320,410,399
"i2109",0,0,0,9,17,12,7,6,10,13,14,8,8,12,17,14
"i309",0,0,0,9,7,3,3,5,8,2,6,4,13,6,10,5
"i38",0,0,0,9,19,7,7,16,11,4,7,9,11,11,7,9
"i422",0,0,0,9,7,5,9,4,5,2,2,2,4,10,9,5
"j4551",0,0,0,9,16,14,8,10,14,9,9,8,16,13,11,17
"j929",0,0,0,9,13,9,6,5,7,5,3,2,3,4,4,7
"j948",0,0,0,9,9,5,3,3,5,7,6,5,6,4,8,0
"k1121",0,0,0,9,7,5,12,7,7,6,6,8,15,14,16,5
"n185",0,0,0,9,22,15,20,22,28,20,22,12,21,34,22,27
"r0601",0,0,0,9,21,19,14,14,12,12,12,18,21,16,12,9
"r0683",0,0,0,9,10,8,3,11,13,6,5,8,14,7,9,5
"r351",0,0,0,9,5,6,2,3,2,4,6,5,8,6,5,7
"r4789",0,0,0,9,10,13,8,15,8,15,9,8,17,9,11,11
"s22000a",0,0,0,9,8,9,11,12,11,19,5,10,9,3,10,8
"s40811a",0,0,0,9,12,16,20,20,20,12,13,10,7,10,11,17
"s40861a",0,0,0,9,12,27,24,28,47,28,13,5,6,7,6,14
"s52121a",0,0,0,9,5,10,5,8,5,7,8,8,3,4,10,7
"s52522a",0,0,0,9,8,4,6,10,13,5,8,8,7,9,12,15
"s52591a",0,0,0,9,9,6,9,8,19,12,10,10,6,8,5,14
"s53031a",0,0,0,9,5,11,7,10,18,12,13,15,14,6,12,14
"s80811a",0,0,0,9,22,33,23,29,34,28,13,10,16,20,25,29
"s81802a",0,0,0,9,20,12,19,20,22,18,9,11,11,12,19,10
"s82899a",0,0,0,9,18,17,13,17,17,7,13,18,5,15,20,13
"t40601a",0,0,0,9,12,6,17,13,11,11,13,17,19,18,12,17
"t43592a",0,0,0,9,13,6,16,12,17,9,9,13,8,13,18,18
"w182xxa",0,0,0,9,8,10,13,17,20,14,20,18,19,26,18,18
"x19xxxa",0,0,0,9,14,15,31,10,8,13,5,9,13,10,10,6
"x58xxxd",0,0,0,9,7,11,8,11,16,17,12,14,16,9,19,22
"y92039",0,0,0,9,3,6,11,12,11,9,12,11,12,14,2,8
"y92322",0,0,0,9,6,12,7,14,29,28,6,3,9,2,8,20
"y93b9",0,0,0,9,6,3,1,5,4,5,7,6,4,5,2,5
"z041",0,0,0,9,16,18,14,22,9,27,16,24,17,13,20,16
"z3a17",0,0,0,9,9,7,21,11,17,10,6,9,21,16,19,12
"z8",0,0,0,9,11,11,9,4,6,3,0,4,4,8,3,4
"z801",0,0,0,9,13,12,6,13,15,15,17,24,11,12,11,12
"z8542",0,0,0,9,11,10,16,11,7,11,9,8,13,8,13,10
"z89511",0,0,0,9,7,7,7,8,14,10,18,7,13,14,12,24
"a749",0,0,0,8,18,18,6,18,17,14,19,10,14,12,13,28
"c539",0,0,0,8,19,15,12,5,5,8,9,4,6,10,9,5
"d529",0,0,0,8,6,2,3,4,2,0,3,1,1,2,4,3
"d6859",0,0,0,8,3,4,13,10,11,11,5,9,13,9,5,11
"d693",0,0,0,8,10,10,9,7,4,8,10,12,14,10,8,9
"d7589",0,0,0,8,15,6,8,7,7,6,5,15,12,12,13,11
"e1101",0,0,0,8,4,2,8,4,6,6,4,6,11,8,11,7
"e66",0,0,0,8,3,6,5,1,1,0,0,5,1,4,0,2
"e8499",0,0,0,8,16,9,8,2,1,0,0,0,0,0,0,0
"f1129",0,0,0,8,12,8,8,7,1,3,5,5,4,8,11,12
"f19959",0,0,0,8,14,5,8,4,2,6,6,8,11,12,12,10
"f320",0,0,0,8,11,10,11,12,3,5,8,6,17,9,9,21
"g479",0,0,0,8,13,17,16,22,21,11,12,20,10,16,18,14
"i083",0,0,0,8,6,8,12,9,11,10,10,4,19,7,17,14
"i4",0,0,0,8,12,4,1,2,3,0,2,3,6,2,0,1
"i444",0,0,0,8,8,1,3,2,3,2,5,6,0,6,3,0
"i454",0,0,0,8,8,8,6,9,7,7,3,12,10,7,11,8
"i69993",0,0,0,8,15,9,6,4,11,4,10,5,4,5,5,1
"i868",0,0,0,8,14,5,8,6,3,1,3,3,5,3,6,3
"j1081",0,0,0,8,5,1,0,0,0,0,0,0,1,0,0,0
"j3089",0,0,0,8,6,4,4,4,5,9,6,3,1,8,7,10
"j45902",0,0,0,8,8,4,4,3,9,7,11,6,12,9,6,11
"k",0,0,0,8,18,20,8,1,4,3,2,3,5,5,3,3
"k121",0,0,0,8,16,17,28,35,23,29,14,20,19,12,20,14
"k432",0,0,0,8,11,11,9,6,16,7,7,7,10,5,11,10
"k5710",0,0,0,8,10,8,7,10,8,4,7,5,13,9,10,12
"l02414",0,0,0,8,8,20,32,28,19,27,17,15,8,10,14,16
"n",0,0,0,8,17,17,10,3,5,2,4,4,10,3,2,4
"o468x9",0,0,0,8,10,9,4,14,15,7,6,5,9,5,10,6
"r061",0,0,0,8,8,9,7,12,14,11,25,16,12,15,17,14
"r09",0,0,0,8,8,4,3,3,0,4,0,4,3,5,2,0
"r490",0,0,0,8,14,7,15,19,8,12,16,22,18,10,12,16
"r53",0,0,0,8,11,5,2,3,4,5,1,1,2,4,1,3
"s01311a",0,0,0,8,14,13,23,7,8,15,13,11,8,7,13,11
"s3981xa",0,0,0,8,6,5,8,11,12,14,7,7,9,13,17,9
"s42001a",0,0,0,8,17,20,19,18,22,21,9,9,11,11,18,19
"s46812a",0,0,0,8,9,15,16,16,19,18,20,22,11,8,21,15
"s53402a",0,0,0,8,3,7,4,10,7,9,12,6,7,16,4,6
"s59902a",0,0,0,8,14,9,6,17,16,16,15,15,13,11,12,20
"s76011a",0,0,0,8,10,11,18,9,7,18,12,9,8,7,10,21
"s82832a",0,0,0,8,18,20,17,15,27,18,18,26,15,13,13,18
"s82851a",0,0,0,8,6,6,3,4,9,6,6,10,4,7,8,0
"s90112a",0,0,0,8,9,6,7,8,9,13,8,2,5,6,8,4
"s90122a",0,0,0,8,12,11,14,10,12,14,5,10,6,11,10,12
"t383x1a",0,0,0,8,2,2,8,7,9,6,3,4,5,7,11,4
"t7421xa",0,0,0,8,17,18,14,19,14,23,22,15,13,15,13,24
"t888xxa",0,0,0,8,15,7,13,10,10,4,5,2,8,3,5,4
"v4752xa",0,0,0,8,9,10,7,10,12,0,0,0,0,0,0,0
"w1842xa",0,0,0,8,5,2,4,4,1,2,7,1,1,4,1,7
"y92149",0,0,0,8,2,6,7,11,6,5,8,9,8,10,10,13
"y92199",0,0,0,8,15,15,10,6,11,15,17,12,8,11,13,19
"y92413",0,0,0,8,8,5,22,20,14,21,13,17,28,20,18,15
"z01818",0,0,0,8,11,5,0,5,4,5,2,5,7,3,4,6
"z3a22",0,0,0,8,6,3,2,10,3,6,2,7,16,8,7,15
"a64",0,0,0,7,17,12,18,17,25,18,20,11,15,11,14,18
"c7989",0,0,0,7,9,7,7,5,6,7,10,11,7,6,9,7
"e1129",0,0,0,7,3,8,1,7,6,8,5,7,8,8,4,6
"e271",0,0,0,7,7,13,4,11,6,10,11,11,12,10,9,17
"e8",0,0,0,7,9,11,5,1,1,4,3,3,3,3,2,2
"f",0,0,0,7,6,7,6,1,2,2,1,5,6,4,3,3
"f10121",0,0,0,7,10,9,10,9,10,13,13,7,10,7,9,11
"f13239",0,0,0,7,7,12,8,18,14,10,13,7,18,6,8,10
"g253",0,0,0,7,8,4,4,8,16,9,5,14,15,4,7,10
"g40901",0,0,0,7,8,3,10,7,18,19,14,7,17,9,20,14
"g43809",0,0,0,7,15,28,37,44,47,48,38,33,34,36,48,37
"g5600",0,0,0,7,19,15,15,20,14,15,16,12,11,11,11,14
"g959",0,0,0,7,1,4,3,6,2,3,2,5,2,9,1,5
"h66003",0,0,0,7,17,14,23,15,15,47,39,73,81,66,44,30
"h81399",0,0,0,7,14,11,11,14,13,15,9,15,11,16,10,20
"i459",0,0,0,7,8,10,6,6,7,3,4,6,5,3,4,7
"i63512",0,0,0,7,10,2,12,3,9,7,7,13,10,8,12,14
"i743",0,0,0,7,8,3,3,9,14,8,9,8,10,3,13,6
"i8510",0,0,0,7,9,11,10,12,13,11,10,7,14,7,12,14
"j060",0,0,0,7,3,3,0,1,2,1,4,2,2,3,6,3
"j129",0,0,0,7,8,5,4,7,13,13,19,12,15,24,26,14
"j324",0,0,0,7,3,2,3,6,4,7,7,5,9,12,9,9
"k120",0,0,0,7,14,14,9,25,15,14,14,13,14,10,12,14
"k264",0,0,0,7,10,3,7,8,5,7,5,8,7,9,9,13
"k754",0,0,0,7,5,4,3,3,5,1,5,3,5,3,2,4
"k8071",0,0,0,7,5,6,4,10,8,7,6,5,4,2,8,6
"k812",0,0,0,7,1,3,6,4,4,2,4,0,1,3,2,7
"k900",0,0,0,7,7,7,14,11,8,10,5,4,9,8,14,20
"l247",0,0,0,7,6,6,9,4,5,3,3,0,0,1,1,4
"l4050",0,0,0,7,6,10,8,7,9,5,9,4,4,9,14,8
"m19012",0,0,0,7,6,10,4,5,5,5,8,8,10,6,9,14
"m25539",0,0,0,7,14,9,12,13,11,11,8,11,10,13,10,13
"m316",0,0,0,7,2,6,5,5,9,5,9,5,6,7,7,8
"m3500",0,0,0,7,6,9,10,13,12,12,18,7,9,6,14,11
"m5032",0,0,0,7,8,10,4,2,6,0,0,0,0,0,0,0
"m7120",0,0,0,7,15,11,14,8,6,13,11,7,8,8,14,5
"m79643",0,0,0,7,7,10,4,8,8,4,6,3,4,7,8,9
"n3010",0,0,0,7,12,6,13,8,10,4,14,9,10,4,6,10
"n9489",0,0,0,7,12,4,9,11,12,8,11,12,12,14,23,21
"o99612",0,0,0,7,3,6,3,3,4,5,3,4,5,13,15,14
"r259",0,0,0,7,3,3,6,8,8,3,9,4,7,6,3,6
"r4702",0,0,0,7,16,7,7,8,3,11,9,9,16,9,14,8
"r54",0,0,0,7,3,8,2,7,9,4,9,9,8,14,9,18
