"code","n_jan16","n_feb16","n_mar16","n_apr16","n_may16","n_jun16","n_jul16","n_aug16","n_spt16","n_oct16","n_nov16","n_dec16","n_jan17","n_feb17","n_mar17","n_apr17"
"s0181xa",4,9,16,226,316,369,404,460,430,447,368,425,310,373,390,413
"s060x9a",4,3,15,79,122,123,123,159,198,214,176,163,162,130,177,164
"s20219a",4,2,1,65,81,85,95,106,99,80,93,77,67,44,72,95
"s39012a",4,3,10,188,287,307,346,368,360,342,355,310,311,259,337,311
"y9372",4,0,0,11,11,5,9,15,8,15,39,46,43,33,23,18
"z79899",4,5,73,855,1259,1067,969,951,1292,1445,1462,1467,1635,1837,1789,2206
"z87442",4,0,2,125,170,163,151,188,187,156,198,158,166,174,191,194
"z951",4,0,22,207,295,279,245,240,289,301,291,300,393,363,427,454
"e669",3,1,23,413,452,391,370,338,371,348,342,373,444,424,525,619
"e875",3,3,23,182,208,210,302,260,267,268,259,283,310,327,358,323
"e876",3,5,76,743,957,935,984,1036,956,990,904,924,1089,1072,1267,1115
"f1510",3,1,8,165,214,247,301,330,249,273,271,239,294,299,317,374
"f319",3,4,13,242,263,260,286,287,319,298,288,263,289,279,361,442
"f329",3,12,57,897,1102,1127,1292,1331,1233,1341,1185,1076,1241,1272,1506,1781
"g8918",3,3,6,59,100,95,104,91,106,114,110,116,123,105,143,115
"j189",3,12,77,730,816,778,796,792,918,995,1152,1296,1427,1423,1317,989
"j441",3,8,38,340,409,416,447,458,484,491,539,648,825,826,667,584
"j9811",3,1,18,219,268,256,219,188,164,173,183,193,207,200,212,185
"k0889",3,3,7,7,10,9,7,13,22,579,594,465,491,493,520,502
"k625",3,3,3,108,156,156,150,170,137,131,165,156,163,149,196,164
"k921",3,4,8,130,142,133,133,146,145,149,137,123,168,150,178,152
"k922",3,0,15,145,199,164,227,207,210,218,198,190,188,200,210,218
"l0291",3,3,6,84,121,167,171,206,173,170,147,138,129,158,158,142
"m25511",3,0,10,123,174,205,217,229,235,218,213,240,248,210,255,275
"m25512",3,0,9,117,187,177,237,244,243,219,229,256,247,236,274,289
"r040",3,2,11,121,164,181,178,165,186,217,221,325,308,307,298,238
"r0600",3,3,25,341,463,508,531,516,520,503,542,636,712,611,684,565
"r0902",3,5,18,313,367,314,314,356,373,392,405,506,648,624,538,425
"r1030",3,2,4,118,148,200,200,256,224,228,236,218,271,257,250,278
"r339",3,3,18,154,202,192,185,198,218,223,203,200,230,213,249,212
"r410",3,5,21,249,330,317,293,273,279,254,254,280,338,296,309,256
"r569",3,6,24,270,376,318,406,394,449,415,414,440,484,415,494,459
"s63502a",3,0,3,41,49,42,52,69,77,84,65,48,60,67,50,66
"s8001xa",3,0,3,58,94,81,109,105,116,111,110,103,98,90,102,113
"s93409a",3,1,8,53,50,71,69,77,92,86,76,65,60,80,72,72
"s93431a",3,0,0,6,6,6,7,9,15,10,13,6,7,10,10,10
"w010xxa",3,2,6,251,372,588,620,627,626,529,536,564,481,480,515,672
"y92019",3,1,3,73,135,77,135,136,144,176,208,179,167,154,159,197
"y990",3,4,8,131,175,214,232,273,267,295,277,227,302,274,331,289
"z711",3,1,6,43,54,75,76,75,94,71,60,62,78,53,56,55
"z720",3,4,11,612,954,853,740,795,782,667,593,802,903,724,702,655
"z7901",3,2,31,452,532,459,442,526,525,577,597,670,729,730,816,835
"z794",3,0,32,395,438,492,501,499,560,645,662,734,857,896,910,1049
"z87891",3,4,59,772,920,798,768,829,845,855,844,936,1095,1101,1115,1493
"b09",2,0,0,22,31,32,51,44,51,42,44,39,34,42,27,33
"b379",2,1,3,10,16,18,24,23,22,21,17,27,30,32,31,26
"b974",2,3,1,8,2,2,0,0,2,4,20,62,140,136,69,17
"d509",2,0,12,135,141,101,121,147,146,137,104,100,143,141,205,165
"d62",2,1,24,181,251,239,237,211,215,245,219,225,211,230,268,255
"d696",2,0,14,177,227,208,211,183,171,214,184,193,229,217,259,250
"d72829",2,1,26,288,377,379,434,400,428,400,413,444,449,432,511,537
"e039",2,3,39,558,659,640,637,657,686,674,723,638,764,819,1000,1073
"e1142",2,0,7,31,41,36,52,38,52,49,42,54,72,79,130,159
"e861",2,0,4,40,33,49,63,71,48,56,45,47,64,68,47,43
"e871",2,8,46,477,603,612,718,660,641,606,554,529,690,700,695,669
"e8770",2,1,10,91,94,89,89,103,100,88,82,97,123,127,123,127
"f1910",2,1,5,213,284,321,277,298,292,264,236,240,259,245,282,327
"g43009",2,0,2,50,53,86,103,95,104,95,84,76,118,71,92,79
"h538",2,0,1,35,63,57,64,65,71,62,55,83,108,81,107,109
"h6691",2,1,5,102,130,120,121,119,139,149,182,271,285,297,264,206
"h6693",2,1,3,68,71,77,64,67,73,75,120,154,155,164,107,96
"i469",2,1,4,70,65,69,80,82,68,98,91,104,119,106,118,93
"i482",2,1,11,116,134,158,146,150,152,183,174,181,233,230,249,177
"i499",2,1,4,97,124,102,89,91,93,75,70,80,73,75,90,93
"j00",2,0,1,33,57,48,41,57,77,107,127,166,138,145,105,91
"j0190",2,2,8,74,108,73,79,75,127,111,124,194,185,170,160,105
"j440",2,1,9,49,35,54,44,43,57,86,129,159,199,191,219,154
"k047",2,5,8,148,217,235,264,311,278,288,283,275,267,262,320,328
"k08409",2,0,0,6,7,1,5,7,7,13,14,5,11,13,8,9
"k2970",2,4,17,129,193,180,198,163,219,148,171,181,179,174,181,197
"k5732",2,0,3,88,113,121,132,127,111,111,102,105,112,112,116,129
"k649",2,1,3,49,55,52,61,49,44,49,64,56,58,49,65,63
"k810",2,0,2,27,38,42,43,44,47,53,60,47,38,38,41,43
"l02214",2,0,4,12,23,20,30,26,25,19,19,19,27,25,21,30
"l22",2,0,4,23,31,44,57,55,69,60,45,44,49,41,52,39
"l539",2,0,3,60,109,111,91,96,104,79,95,79,57,66,103,87
"m25461",2,0,1,23,33,26,30,36,34,38,42,28,37,27,46,43
"m25519",2,2,3,33,48,44,42,42,43,43,42,47,48,45,38,49
"m546",2,5,4,85,169,147,192,174,157,177,178,182,209,163,254,209
"m791",2,1,7,135,197,188,182,220,228,216,207,197,261,276,259,203
"m79604",2,2,6,94,143,152,142,137,168,139,170,137,162,141,179,202
"m79642",2,2,1,31,45,36,60,53,69,42,59,60,54,43,72,60
"n10",2,0,2,77,86,93,119,148,162,152,140,111,117,112,141,131
"n760",2,2,11,109,160,153,190,240,220,170,206,196,214,165,200,200
"n8320",2,1,13,165,234,192,270,241,222,4,0,0,0,0,0,1
"o039",2,2,0,19,49,47,51,57,42,56,58,60,67,53,65,59
"o4690",2,1,0,6,15,16,17,24,24,21,26,23,18,14,19,27
"r0781",2,2,7,148,204,157,210,149,182,207,198,190,242,215,236,249
"r091",2,1,4,63,74,83,93,101,96,91,104,127,132,117,106,105
"r0982",2,0,0,11,7,12,8,14,19,12,20,5,16,13,13,6
"r200",2,2,12,157,209,183,199,199,229,196,201,155,191,182,219,217
"r21",2,2,22,301,473,596,609,612,608,524,492,419,475,459,464,459
"r5383",2,2,17,298,381,372,377,347,297,295,284,275,370,381,361,379
"r58",2,2,1,13,28,32,37,32,33,38,42,31,33,25,33,27
"r600",2,1,11,166,199,205,238,214,191,202,196,186,225,205,257,253
"r6884",2,1,3,46,53,64,58,66,75,64,71,72,65,73,82,58
"r739",2,3,22,339,474,374,453,442,429,440,406,508,530,503,573,566
"s0083xa",2,3,14,180,264,281,321,312,310,320,289,334,319,298,291,330
"s01511a",2,3,9,69,94,101,124,117,131,142,129,116,115,126,123,138
"s025xxa",2,3,2,35,40,40,56,50,70,51,68,36,46,34,67,50
"s060x0a",2,0,5,95,119,133,140,171,251,225,212,166,159,129,177,152
"s134xxa",2,0,0,36,66,85,63,59,56,75,75,57,66,54,54,55
"s46911a",2,1,4,30,44,36,50,44,58,42,34,32,45,40,41,33
"s5001xa",2,0,1,22,47,45,54,46,59,53,37,46,32,26,38,32
"s5011xa",2,0,0,13,28,32,20,44,43,33,32,25,20,27,23,37
"s61219a",2,7,11,75,108,114,145,137,129,136,114,125,101,85,121,111
"s63509a",2,0,0,2,7,5,7,17,7,8,6,13,12,7,7,13
"s7001xa",2,1,1,45,52,76,57,65,58,76,53,81,67,65,44,67
"s8002xa",2,1,1,88,97,84,121,85,102,101,109,106,79,83,115,126
"s8391xa",2,1,4,44,42,59,44,56,68,64,64,46,45,47,51,40
"s93401a",2,1,6,86,115,146,158,162,177,197,175,134,146,158,183,205
"s93402a",2,2,7,97,124,132,146,154,215,186,149,166,131,136,165,157
"t189xxa",2,0,2,8,20,25,39,35,33,36,34,42,27,25,30,32
"t23002a",2,0,0,2,1,2,6,4,3,2,1,1,4,4,7,4
"t7840xa",2,7,10,130,200,233,237,274,276,252,222,233,225,213,249,223
"t8189xa",2,0,1,9,8,11,9,15,11,18,9,14,14,13,14,7
"t83098a",2,0,0,3,7,14,11,10,10,8,13,15,9,17,12,7
"w228xxa",2,1,4,157,185,218,255,287,268,321,242,233,196,239,265,247
"y92002",2,0,2,18,23,30,45,36,45,52,56,45,50,53,55,63
"y92122",2,0,1,15,10,18,26,19,31,21,21,19,20,21,23,31
"y92410",2,2,3,227,324,335,368,331,322,258,280,274,236,237,279,459
"y9269",2,1,0,24,35,76,75,80,77,44,44,53,41,46,52,78
"y9301",2,2,7,70,96,90,134,129,167,140,152,105,138,120,114,136
"y9389",2,0,28,375,447,616,741,894,918,829,756,626,658,721,708,670
"z3a01",2,3,2,69,104,79,94,113,103,93,102,94,134,116,113,153
"z5320",2,0,0,66,94,87,101,121,158,113,93,101,109,120,112,118
"z7982",2,3,46,559,639,666,638,619,696,797,836,869,951,939,943,743
"z8673",2,0,25,360,433,387,363,358,405,363,401,466,536,469,506,577
"z955",2,1,14,184,264,239,246,249,268,266,262,303,352,315,361,353
"z9889",2,0,8,95,145,156,218,520,568,8,0,3,0,0,0,0
"z9981",2,2,6,100,128,127,127,136,123,104,134,183,208,183,199,183
"a048",1,0,3,8,3,4,8,0,9,9,10,4,6,2,2,8
"a419",1,3,55,524,547,528,560,535,598,606,624,678,700,765,767,650
"a499",1,0,1,6,6,5,3,4,5,9,6,5,9,11,9,7
"a549",1,0,0,4,11,8,5,13,17,13,8,13,18,11,11,15
"b001",1,0,0,6,10,8,11,13,11,12,11,5,13,6,12,12
"b083",1,0,0,4,0,2,2,3,3,0,4,7,6,8,7,4
"b1920",1,0,2,63,54,57,75,56,66,60,50,52,64,60,70,78
"b2790",1,0,2,11,19,16,26,32,33,33,32,27,26,22,29,40
"b356",1,1,0,6,7,9,14,14,13,7,6,6,5,3,7,12
"b359",1,0,0,1,7,4,3,7,10,6,10,3,5,4,5,5
"b3749",1,0,2,7,8,8,11,8,7,16,12,12,8,18,13,11
"b86",1,1,2,18,27,28,47,41,48,31,33,28,24,39,41,25
"b9620",1,1,9,110,103,136,126,105,121,113,114,122,144,135,180,149
"b964",1,0,2,15,7,14,11,12,9,18,18,17,15,15,26,16
"b9689",1,0,6,100,162,178,171,215,81,80,85,103,149,192,196,266
"c3490",1,0,4,64,70,52,67,49,58,61,58,65,53,71,87,67
"c801",1,0,2,20,25,16,30,33,22,25,33,22,28,26,25,22
"d508",1,0,0,3,7,9,5,11,8,18,11,7,12,14,10,10
"d690",1,0,0,1,3,1,2,1,5,4,5,5,8,5,5,5
"d72825",1,1,3,21,39,42,34,35,24,26,46,31,31,31,35,37
"e11649",1,1,8,69,100,118,83,69,76,81,83,96,120,96,138,111
"e118",1,0,0,24,39,28,61,50,50,59,75,68,85,71,68,57
